UWI,FORMATION,BVH_MEAN,BVH_PAY_FLAG_1_MEAN,BVH_PAY_FLAG_1_STD,BVH_PAY_FLAG_1_SUM,BVH_PAY_FLAG_2_MEAN,BVH_PAY_FLAG_2_STD,BVH_PAY_FLAG_2_SUM,BVH_PAY_FLAG_3_MEAN,BVH_PAY_FLAG_3_STD,BVH_PAY_FLAG_3_SUM,BVH_STD,BVH_SUM,DATETIME,GROSS_H,OIP_MEAN,OIP_PAY_FLAG_1_MEAN,OIP_PAY_FLAG_1_STD,OIP_PAY_FLAG_1_SUM,OIP_PAY_FLAG_2_MEAN,OIP_PAY_FLAG_2_STD,OIP_PAY_FLAG_2_SUM,OIP_PAY_FLAG_3_MEAN,OIP_PAY_FLAG_3_STD,OIP_PAY_FLAG_3_SUM,OIP_STD,OIP_SUM,PHIE_MEAN,PHIE_PAY_FLAG_1_MEAN,PHIE_PAY_FLAG_1_STD,PHIE_PAY_FLAG_1_SUM,PHIE_PAY_FLAG_2_MEAN,PHIE_PAY_FLAG_2_STD,PHIE_PAY_FLAG_2_SUM,PHIE_PAY_FLAG_3_MEAN,PHIE_PAY_FLAG_3_STD,PHIE_PAY_FLAG_3_SUM,PHIE_STD,PHIE_SUM,SW_MEAN,SW_PAY_FLAG_1_MEAN,SW_PAY_FLAG_1_STD,SW_PAY_FLAG_1_SUM,SW_PAY_FLAG_2_MEAN,SW_PAY_FLAG_2_STD,SW_PAY_FLAG_2_SUM,SW_PAY_FLAG_3_MEAN,SW_PAY_FLAG_3_STD,SW_PAY_FLAG_3_SUM,SW_STD,SW_SUM,TOC_MEAN,TOC_PAY_FLAG_1_MEAN,TOC_PAY_FLAG_1_STD,TOC_PAY_FLAG_1_SUM,TOC_PAY_FLAG_2_MEAN,TOC_PAY_FLAG_2_STD,TOC_PAY_FLAG_2_SUM,TOC_PAY_FLAG_3_MEAN,TOC_PAY_FLAG_3_STD,TOC_PAY_FLAG_3_SUM,TOC_STD,TOC_SUM,VCLAY_MEAN,VCLAY_PAY_FLAG_1_MEAN,VCLAY_PAY_FLAG_1_STD,VCLAY_PAY_FLAG_1_SUM,VCLAY_PAY_FLAG_2_MEAN,VCLAY_PAY_FLAG_2_STD,VCLAY_PAY_FLAG_2_SUM,VCLAY_PAY_FLAG_3_MEAN,VCLAY_PAY_FLAG_3_STD,VCLAY_PAY_FLAG_3_SUM,VCLAY_STD,VCLAY_SUM
42383347460000,WFMPC,0.008019828402977115,0.009438498409279926,0.010747898104578305,1.3072320296852695,0.026649435720387686,0.004173957190675235,0.7728336358912428,,,0.0,0.010465742776728456,1.3072320296852695,2017-10-23 10:26:05.174311,163.0,0.012097207521101421,0.014237146757686147,0.01621461765719735,3.943689651879063,0.04019944298534131,0.006317759034586548,2.331567693149796,,,0.0,0.015788710920098318,3.943689651879063,0.04663221853692167,0.05154256053005951,0.010256651742084118,7.138644633413242,0.06380055899022874,0.00581854510875246,1.850216210716633,,,0.0,0.015186660528248222,7.601051621518232,0.8625137397852611,0.8381930655956504,0.17242574694407894,116.0897395849976,0.5821288923070852,0.05311773123816711,16.881737876905472,,,0.0,0.16913214121035422,140.58973958499755,0.02674551463836357,0.029625655050780863,0.006722358651628524,4.10315322453315,0.035974596201547325,0.0037656489674956,1.0432632898448724,,,0.0,0.00967766983242043,4.359518886053261,0.2260750702367096,0.2449887452231083,0.0389465793366424,33.9309412134005,0.2693043705565684,0.0277351848160646,7.809826746140484,,,0.0,0.05992653705380808,36.85023644858366
42303347740000,WFMPA,0.0316937941802004,0.03532311899919535,0.013984976416871341,9.289980296788377,0.038691241634820316,0.01161025384182498,8.84094871355644,0.05243943924308581,0.011091769079885705,1.5731831772925744,0.01638710946972893,9.523985151150221,2017-10-23 10:28:43.295434,300.5,0.04925357343765162,0.05489199657108695,0.02171226422060776,28.87319019639173,0.06012168791333874,0.018025027383525568,27.475611376395804,0.08157258869119506,0.017311794840191744,4.894355321471704,0.025448130464769163,29.601397636028622,0.049196365144007714,0.0531568946691301,0.01371905561571165,13.980263297981214,0.05576773494438609,0.012723365159562879,12.742927434792225,0.06403212226653464,0.013151806513327329,1.92096366799604,0.01680515044643438,14.783507725774314,0.4032293748607185,0.35447357414530506,0.15271227252614156,93.22655000021523,0.3113816712406788,0.1001146292316908,71.15071187849509,0.1818442972937881,0.011429171843439723,5.455328918813644,0.21018484257503844,121.1704271456459,0.03473723369574862,0.035726803793087895,0.008456445779900556,9.396149397582118,0.03613301889858722,0.008478939924853825,8.256394818327179,0.0386050330048756,0.010119283535721134,1.158150990146268,0.009599511307370304,10.43853872557246,0.2408513148840085,0.2441403972891833,0.06865159747060437,64.20892448705523,0.2401696141877549,0.06534934029912062,54.87875684190201,0.2269042966587426,0.05391364534937525,6.807128899762278,0.07593759730263343,72.37582012264455
42303347740000,WFMPB,0.011892552418382704,0.013121823687957277,0.012888564364402584,4.710734703976662,0.03134311718225583,0.007932371609468561,2.9619245737231763,,,0.0,0.012841739157268509,4.715397033888743,2017-10-23 10:28:43.296434,396.5,0.018229186518474542,0.020113409881256854,0.01982614750923484,14.441428294742426,0.04816094390825422,0.01229350767132751,9.102418398660047,,,0.0,0.01974794878144829,14.455744909150312,0.05015304868985596,0.05342875804839689,0.011771380941900462,19.180924139374486,0.06675897714707614,0.008450231764556615,6.308723340398696,,,0.0,0.015293545278805231,19.88568380552789,0.8061157259840976,0.7863631373605392,0.18537801390662573,282.3043663124336,0.5347207872103878,0.07553884332668738,50.53111439138164,,,0.0,0.18683649427392893,319.6248853526947,0.030344985960592364,0.031582175768760636,0.00845367217666728,11.338001100985071,0.04085692392636893,0.005748926223493596,3.860979311041864,,,0.0,0.009915916807383927,12.031786933374873,0.25138943259115204,0.2605155127469594,0.033552939995276934,93.52506907615843,0.27797308971166285,0.029004246824758505,26.268456977752138,,,0.0,0.04895575785532412,99.67591002239178
42303347740000,WFMPC,0.013653405956050078,0.01635783798793471,0.017272965790257836,4.572015717627751,0.034210457814085625,0.01534688717027283,3.5065719259437764,,,0.0,0.01682340857621089,4.608024510166901,2017-10-23 10:28:43.296434,337.5,0.02050435834754921,0.024565805943217226,0.02590468241849271,13.73228552225843,0.05138096982043208,0.022930114741838467,10.533098813188577,,,0.0,0.02523483455749247,13.840441884595721,0.05205787887129934,0.058542138788161086,0.018328405461373664,16.362527791291026,0.07355795625175124,0.01938260900002221,7.539690515804503,,,0.0,0.02206716272514601,17.569534119063526,0.7984851444083962,0.7613583199156267,0.2027450648102473,212.7996504164177,0.5423377383585687,0.0985563123782256,55.5896181817533,,,0.0,0.20388279853646074,269.48873623783373,0.02753203647312619,0.03105513410342666,0.012169877528060206,8.679909981907752,0.03979783094380874,0.013220163412958924,4.079277671740397,,,0.0,0.01380658271374886,9.29206230968009,0.2180375888851723,0.2423685784097941,0.046957362022331486,67.74201766553745,0.2692731600188086,0.035363759754626384,27.60049890192788,,,0.0,0.07045773236115155,73.58768624874565
42303347740000,WFMPA,0.0316937941802004,0.03532311899919535,0.013984976416871341,9.289980296788377,0.038691241634820316,0.01161025384182498,8.84094871355644,0.05243943924308581,0.011091769079885705,1.5731831772925744,0.01638710946972893,9.523985151150221,2017-10-23 10:29:52.504070,300.5,0.04925357343765162,0.05489199657108695,0.02171226422060776,28.87319019639173,0.06012168791333874,0.018025027383525568,27.475611376395804,0.08157258869119506,0.017311794840191744,4.894355321471704,0.025448130464769163,29.601397636028622,0.049196365144007714,0.0531568946691301,0.01371905561571165,13.980263297981214,0.05576773494438609,0.012723365159562879,12.742927434792225,0.06403212226653464,0.013151806513327329,1.92096366799604,0.01680515044643438,14.783507725774314,0.4032293748607185,0.35447357414530506,0.15271227252614156,93.22655000021523,0.3113816712406788,0.1001146292316908,71.15071187849509,0.1818442972937881,0.011429171843439723,5.455328918813644,0.21018484257503844,121.1704271456459,0.03473723369574862,0.035726803793087895,0.008456445779900556,9.396149397582118,0.03613301889858722,0.008478939924853825,8.256394818327179,0.0386050330048756,0.010119283535721134,1.158150990146268,0.009599511307370304,10.43853872557246,0.2408513148840085,0.2441403972891833,0.06865159747060437,64.20892448705523,0.2401696141877549,0.06534934029912062,54.87875684190201,0.2269042966587426,0.05391364534937525,6.807128899762278,0.07593759730263343,72.37582012264455
42303347740000,WFMPB,0.011892552418382704,0.013121823687957277,0.012888564364402584,4.710734703976662,0.03134311718225583,0.007932371609468561,2.9619245737231763,,,0.0,0.012841739157268509,4.715397033888743,2017-10-23 10:29:52.512070,396.5,0.018229186518474542,0.020113409881256854,0.01982614750923484,14.441428294742426,0.04816094390825422,0.01229350767132751,9.102418398660047,,,0.0,0.01974794878144829,14.455744909150312,0.05015304868985596,0.05342875804839689,0.011771380941900462,19.180924139374486,0.06675897714707614,0.008450231764556615,6.308723340398696,,,0.0,0.015293545278805231,19.88568380552789,0.8061157259840976,0.7863631373605392,0.18537801390662573,282.3043663124336,0.5347207872103878,0.07553884332668738,50.53111439138164,,,0.0,0.18683649427392893,319.6248853526947,0.030344985960592364,0.031582175768760636,0.00845367217666728,11.338001100985071,0.04085692392636893,0.005748926223493596,3.8609793110418638,,,0.0,0.009915916807383927,12.031786933374873,0.25138943259115204,0.2605155127469594,0.033552939995276934,93.52506907615843,0.27797308971166285,0.029004246824758505,26.268456977752138,,,0.0,0.04895575785532412,99.67591002239178
42303347740000,WFMPC,0.013653405956050078,0.01635783798793471,0.017272965790257836,4.572015717627751,0.034210457814085625,0.01534688717027283,3.5065719259437764,,,0.0,0.01682340857621089,4.608024510166901,2017-10-23 10:29:52.527072,337.5,0.02050435834754921,0.024565805943217226,0.02590468241849271,13.73228552225843,0.05138096982043208,0.022930114741838467,10.533098813188577,,,0.0,0.02523483455749247,13.840441884595721,0.05205787887129934,0.058542138788161086,0.018328405461373664,16.362527791291026,0.07355795625175124,0.01938260900002221,7.539690515804503,,,0.0,0.02206716272514601,17.569534119063526,0.7984851444083962,0.7613583199156267,0.2027450648102473,212.7996504164177,0.5423377383585687,0.0985563123782256,55.5896181817533,,,0.0,0.20388279853646074,269.48873623783373,0.02753203647312619,0.03105513410342666,0.012169877528060206,8.679909981907752,0.03979783094380874,0.013220163412958924,4.079277671740397,,,0.0,0.01380658271374886,9.29206230968009,0.2180375888851723,0.2423685784097941,0.046957362022331486,67.74201766553745,0.2692731600188086,0.035363759754626384,27.60049890192788,,,0.0,0.07045773236115155,73.58768624874565
42383348000000,WFMPA,0.034030579627682064,0.03716762516889121,0.013138503383529431,10.499854110211766,0.03934825307412506,0.011524655228144312,10.132175166587203,0.050687371025180526,0.010598227517339158,2.1542132685701723,0.015326071899360324,10.855754901230581,2017-10-23 10:30:03.147134,319.0,0.052870708440082126,0.05774712990276541,0.02042054843475721,32.62712839506245,0.06113176781167098,0.017922957249195584,31.48286042301055,0.0788075175577343,0.01648969874136523,6.698638992407416,0.02382055292684221,33.731511984772396,0.049902766649664934,0.05359374110632208,0.012761366123313493,15.14023186253599,0.05516273629048919,0.012172937695957469,14.204404594800966,0.06081382565422271,0.012748035449426584,2.5845875903044653,0.015994936555141715,15.918982561243114,0.35261583521766937,0.32013388127832976,0.1357605104406352,90.43782146112815,0.29279289797370794,0.0967126931346482,75.3941712282298,0.1662131074706115,0.025079593512956144,7.064057067500987,0.17886915310204965,112.48445143443651,0.030357340975040725,0.03152763264555921,0.0073972916395866435,8.906556222370476,0.0318120928475653,0.007167892749128504,8.191613908248065,0.033343461565841406,0.007695065563706102,1.4170971165482598,0.008293128366277597,9.683991771037991,0.22790596492129586,0.2344568510394549,0.06844035470530109,66.23406041864601,0.23248589366192,0.06672995034796324,59.8651176179444,0.2072909205591579,0.0573150929677044,8.80986412376421,0.07272673479167563,72.70200280989337
42383348000000,WFMPB,0.023079144471737537,0.024305175750654887,0.014110387694900087,8.883541736864359,0.032924924134337126,0.011045356955576712,7.194095923352663,,,0.0,0.014712045511218604,8.89701019385482,2017-10-23 10:30:03.157135,385.5,0.035272804656887286,0.03714633955820913,0.021699662772285414,27.153974217050877,0.05036185950169185,0.017098326695352543,22.008132602239343,,,0.0,0.022606811621523296,27.195332390460106,0.058081131753514426,0.06038369617993038,0.012633301030692492,22.070240953764554,0.06736671034876034,0.009232341722704452,14.719626211204135,,,0.0,0.015926813146278525,22.39027629097981,0.6406125018048208,0.6225002330887918,0.17435207217151588,227.5238351939534,0.5168032042735173,0.11872290411263416,112.92150013376354,,,0.0,0.1875543920025852,246.9561194457584,0.027615069497300845,0.02850851351525065,0.0071394518955782684,10.419861689824113,0.03197163172650907,0.006165520996793278,6.985801532242231,,,0.0,0.008099754952738163,10.645609291209476,0.2529453564541411,0.2580558675977008,0.0340073340310593,94.31941960695964,0.26637219170262216,0.02801396984293496,58.202323887022935,,,0.0,0.04134278178639795,97.51043491307138
42383348000000,WFMPC,0.02071199758997466,0.02305729391398673,0.01711622666099409,6.594386059400206,0.037031574691978944,0.011780200488866535,5.351062542990958,,,0.0,0.01754901885807638,6.638195227586877,2017-10-23 10:30:03.164135,320.5,0.031099858337250142,0.034620698853106036,0.0257322892315074,19.803039743976647,0.05562721811625916,0.017731582960424878,16.076266035598902,,,0.0,0.026377513539435054,19.93500919417734,0.05792869487535893,0.062890278573683,0.01498990561058481,17.986619672073342,0.07284192417695089,0.011522942583499488,10.525658043569404,,,0.0,0.02030355211744376,18.566146707552537,0.6975198150180598,0.6681083983266836,0.21211170895889944,191.07900192143143,0.4956010159324005,0.11940265066289005,71.61434680223185,,,0.0,0.22187558509666305,223.55510071328808,0.02585540153941537,0.02791202447822826,0.008692201498879308,7.982839000773282,0.033782198500129916,0.00690751123354332,4.881527683268773,,,0.0,0.010305639442117395,8.286656193382626,0.2335587755760924,0.2479079775847953,0.041181773555191335,70.90168158925147,0.2633247495703355,0.03477340698850538,38.05042631291347,,,0.0,0.05909214466142256,74.85558757213761
42383347460000,WFMPA,0.018357397517357123,0.02335613856044004,0.011463739570779707,5.535404838824288,0.03101516439883717,0.00868856319030271,4.171539611643599,,,0.0,0.013470743127549731,5.736686724174103,2017-10-23 10:30:17.489663,312.5,0.028564969757769437,0.03634516422331639,0.01786510703669851,17.22760784185197,0.04828437706593653,0.0135411984971023,12.988497430736926,,,0.0,0.020980513049114115,17.853106098605895,0.04000001830932445,0.0459850261691693,0.010685617633735323,10.898451202093122,0.05218490060395346,0.009206270584225785,7.018869131231741,,,0.0,0.014513995782721875,12.500005721663893,0.6078125132326075,0.5151859512368231,0.1560369379928873,122.09907044312706,0.4124477377800977,0.0759146917184368,55.47422073142314,,,0.0,0.2232925194325982,189.94141038518987,0.031254807984446915,0.03279393846250219,0.007414099108892655,7.772163415613019,0.03542754911255383,0.006897249930998465,4.765005355638491,,,0.0,0.008733327173246153,9.767127495139665,0.22235924923516606,0.2250882168494686,0.05848868964034967,53.34590739332406,0.23089814519601776,0.0535584493065561,31.05580052886439,,,0.0,0.07019449552740574,69.48726538598942
42383347460000,WFMPB,0.0050569130216121,0.005653598923867215,0.008622598011606466,1.9165700351909856,0.02724013939965603,0.0055721850662542715,0.8580643910891651,,,0.0,0.008337847700982549,1.9165700351909856,2017-10-23 10:30:17.489663,379.0,0.007765986728496227,0.008682327345427935,0.013270017899367251,5.886617940200138,0.041947892861169976,0.008608399286851002,2.6427172502537086,,,0.0,0.012830612274701676,5.886617940200138,0.045633924195339376,0.04852245018598434,0.008766925495287152,16.44911061304869,0.06375724322264466,0.005975602279569317,2.008353161513307,,,0.0,0.011985979683405168,17.295257270033623,0.9098819272211296,0.8992485263032687,0.13993782621350387,304.84525041680814,0.5751730271232112,0.05713542637818742,18.117950354381147,,,0.0,0.13591943252416142,344.8452504168081,0.02712228588811746,0.028158050193765924,0.007224270706682022,9.545579015686648,0.03837412718567725,0.005327696037302456,1.2087850063488337,,,0.0,0.0082722442074509,10.279346351596518,0.2398302952873839,0.2463343733388575,0.03145548251894583,83.50735256187271,0.2677780421027304,0.027202353716939826,8.435008326236009,,,0.0,0.04051774258700217,90.8956819139185
42383347460000,WFMPC,0.008019828402977115,0.009438498409279926,0.010747898104578305,1.3072320296852695,0.026649435720387686,0.004173957190675235,0.7728336358912428,,,0.0,0.010465742776728456,1.3072320296852695,2017-10-23 10:30:17.505263,163.0,0.012097207521101421,0.014237146757686147,0.01621461765719735,3.943689651879063,0.04019944298534131,0.006317759034586548,2.331567693149796,,,0.0,0.015788710920098318,3.943689651879063,0.04663221853692167,0.05154256053005951,0.010256651742084118,7.138644633413242,0.06380055899022874,0.00581854510875246,1.850216210716633,,,0.0,0.015186660528248222,7.601051621518232,0.8625137397852611,0.8381930655956504,0.17242574694407894,116.0897395849976,0.5821288923070852,0.05311773123816711,16.881737876905472,,,0.0,0.16913214121035422,140.58973958499755,0.02674551463836357,0.029625655050780863,0.006722358651628524,4.10315322453315,0.035974596201547325,0.0037656489674956,1.0432632898448724,,,0.0,0.00967766983242043,4.359518886053261,0.2260750702367096,0.2449887452231083,0.0389465793366424,33.9309412134005,0.2693043705565684,0.0277351848160646,7.809826746140484,,,0.0,0.05992653705380808,36.85023644858366
42303347740000,WFMPA,0.0316937941802004,0.03532311899919535,0.013984976416871341,9.289980296788377,0.038691241634820316,0.01161025384182498,8.84094871355644,0.05243943924308581,0.011091769079885705,1.5731831772925744,0.01638710946972893,9.523985151150221,2017-10-23 10:40:47.251598,300.5,0.04925357343765162,0.05489199657108695,0.02171226422060776,28.87319019639173,0.06012168791333874,0.018025027383525568,27.475611376395804,0.08157258869119506,0.017311794840191744,4.894355321471704,0.025448130464769163,29.601397636028622,0.049196365144007714,0.0531568946691301,0.01371905561571165,13.980263297981214,0.05576773494438609,0.012723365159562879,12.742927434792225,0.06403212226653464,0.013151806513327329,1.92096366799604,0.01680515044643438,14.783507725774314,0.4032293748607185,0.35447357414530506,0.15271227252614156,93.22655000021523,0.3113816712406788,0.1001146292316908,71.15071187849509,0.1818442972937881,0.011429171843439723,5.455328918813644,0.21018484257503844,121.1704271456459,0.03473723369574862,0.035726803793087895,0.008456445779900556,9.396149397582118,0.03613301889858722,0.008478939924853825,8.256394818327179,0.0386050330048756,0.010119283535721134,1.158150990146268,0.009599511307370304,10.43853872557246,0.2408513148840085,0.2441403972891833,0.06865159747060437,64.20892448705523,0.2401696141877549,0.06534934029912062,54.87875684190201,0.2269042966587426,0.05391364534937525,6.807128899762278,0.07593759730263343,72.37582012264455
42303347740000,WFMPB,0.011892552418382704,0.013121823687957277,0.012888564364402584,4.710734703976662,0.03134311718225583,0.007932371609468561,2.9619245737231763,,,0.0,0.012841739157268509,4.715397033888743,2017-10-23 10:40:47.252598,396.5,0.018229186518474542,0.020113409881256854,0.01982614750923484,14.441428294742426,0.04816094390825422,0.01229350767132751,9.102418398660047,,,0.0,0.01974794878144829,14.455744909150312,0.05015304868985596,0.05342875804839689,0.011771380941900462,19.180924139374486,0.06675897714707614,0.008450231764556615,6.308723340398696,,,0.0,0.015293545278805231,19.88568380552789,0.8061157259840976,0.7863631373605392,0.18537801390662573,282.3043663124336,0.5347207872103878,0.07553884332668738,50.53111439138164,,,0.0,0.18683649427392893,319.6248853526947,0.030344985960592364,0.031582175768760636,0.00845367217666728,11.338001100985071,0.04085692392636893,0.005748926223493596,3.860979311041864,,,0.0,0.009915916807383927,12.031786933374873,0.25138943259115204,0.2605155127469594,0.033552939995276934,93.52506907615843,0.27797308971166285,0.029004246824758505,26.268456977752138,,,0.0,0.04895575785532412,99.67591002239178
42303347740000,WFMPC,0.010936979078386576,0.013171969896995749,0.013965505395309285,3.6552216464163196,0.031239148942647618,0.008758314197428034,2.6397080856537243,,,0.0,0.013570788025747285,3.691230438955469,2017-10-23 10:40:47.254598,337.5,0.01644568557182925,0.019806633150716128,0.02101312862379201,10.992681398647447,0.04699782912518139,0.013184428369641095,7.942633122155655,,,0.0,0.020417583797950143,11.100837760984742,0.04819343586877425,0.054065982169128175,0.013311175886845132,15.003310051933068,0.06741341070181034,0.010339372781701134,5.6964332043029735,,,0.0,0.01765269498236363,16.265284605711308,0.8238124939746301,0.790441913135213,0.20149887206407016,219.34763089502158,0.5391911729686246,0.09002347611991886,45.56165411584878,,,0.0,0.19854782417413408,278.0367167164376,0.02486651277172543,0.027883843558810042,0.007312678339957814,7.737766587569785,0.03483886025168242,0.0052733414962580155,2.9438836912671635,,,0.0,0.009749905270722071,8.392448060457331,0.2167656654194869,0.24086208188326802,0.044678236648026434,66.83922772260686,0.27164130686978305,0.032036480484505685,22.953690430496675,,,0.0,0.0686765340099473,73.15841207907684
42383348000000,WFMPA,0.034030579627682064,0.03716762516889121,0.013138503383529431,10.499854110211766,0.03934825307412506,0.011524655228144312,10.132175166587203,0.050687371025180526,0.010598227517339158,2.1542132685701723,0.015326071899360324,10.855754901230581,2017-10-23 10:40:58.927459,319.0,0.052870708440082126,0.05774712990276541,0.02042054843475721,32.62712839506245,0.06113176781167098,0.017922957249195584,31.48286042301055,0.0788075175577343,0.01648969874136523,6.698638992407416,0.02382055292684221,33.731511984772396,0.04990276664966493,0.05359374110632208,0.012761366123313493,15.14023186253599,0.055162736290489185,0.012172937695957469,14.204404594800966,0.06081382565422271,0.012748035449426584,2.5845875903044653,0.015994936555141715,15.918982561243114,0.35261583521766937,0.32013388127832976,0.1357605104406352,90.43782146112815,0.29279289797370794,0.0967126931346482,75.3941712282298,0.1662131074706115,0.025079593512956144,7.064057067500987,0.17886915310204965,112.48445143443651,0.030357340975040725,0.03152763264555921,0.0073972916395866435,8.906556222370476,0.0318120928475653,0.007167892749128504,8.191613908248065,0.033343461565841406,0.007695065563706102,1.4170971165482598,0.008293128366277597,9.683991771037991,0.22790596492129586,0.2344568510394549,0.06844035470530109,66.23406041864601,0.23248589366192002,0.06672995034796324,59.8651176179444,0.2072909205591579,0.0573150929677044,8.80986412376421,0.07272673479167563,72.70200280989337
42383348000000,WFMPB,0.023079144471737537,0.024305175750654887,0.014110387694900087,8.883541736864359,0.032924924134337126,0.011045356955576712,7.194095923352663,,,0.0,0.014712045511218604,8.89701019385482,2017-10-23 10:40:58.943059,385.5,0.035272804656887286,0.03714633955820913,0.021699662772285414,27.153974217050877,0.05036185950169185,0.017098326695352543,22.008132602239343,,,0.0,0.022606811621523296,27.195332390460106,0.058081131753514426,0.06038369617993038,0.012633301030692492,22.070240953764554,0.06736671034876034,0.009232341722704452,14.719626211204135,,,0.0,0.015926813146278525,22.39027629097981,0.6406125018048208,0.6225002330887918,0.17435207217151588,227.5238351939534,0.5168032042735173,0.11872290411263416,112.92150013376354,,,0.0,0.1875543920025852,246.9561194457584,0.027615069497300845,0.02850851351525065,0.0071394518955782684,10.419861689824113,0.03197163172650907,0.006165520996793278,6.985801532242231,,,0.0,0.008099754952738163,10.645609291209476,0.2529453564541411,0.2580558675977008,0.0340073340310593,94.31941960695964,0.26637219170262216,0.02801396984293496,58.202323887022935,,,0.0,0.04134278178639795,97.51043491307138
42383348000000,WFMPC,0.02071199758997466,0.02305729391398673,0.01711622666099409,6.594386059400206,0.037031574691978944,0.011780200488866535,5.351062542990958,,,0.0,0.01754901885807638,6.638195227586877,2017-10-23 10:40:58.958659,320.5,0.031099858337250142,0.034620698853106036,0.0257322892315074,19.803039743976647,0.05562721811625916,0.017731582960424878,16.076266035598902,,,0.0,0.026377513539435054,19.93500919417734,0.05792869487535893,0.062890278573683,0.01498990561058481,17.986619672073342,0.07284192417695089,0.011522942583499488,10.525658043569404,,,0.0,0.02030355211744376,18.566146707552537,0.6975198150180598,0.6681083983266836,0.21211170895889944,191.07900192143143,0.4956010159324005,0.11940265066289005,71.61434680223185,,,0.0,0.22187558509666305,223.55510071328808,0.02585540153941537,0.02791202447822826,0.008692201498879308,7.982839000773282,0.033782198500129916,0.00690751123354332,4.881527683268773,,,0.0,0.010305639442117395,8.286656193382626,0.2335587755760924,0.2479079775847953,0.041181773555191335,70.90168158925147,0.2633247495703355,0.03477340698850538,38.05042631291347,,,0.0,0.05909214466142256,74.85558757213761
42383347460000,WFMPA,0.018357397517357123,0.02335613856044004,0.011463739570779707,5.535404838824288,0.03101516439883717,0.00868856319030271,4.171539611643599,,,0.0,0.013470743127549731,5.736686724174103,2017-10-23 10:41:14.582622,312.5,0.028564969757769437,0.036345164223316385,0.01786510703669851,17.22760784185197,0.04828437706593653,0.0135411984971023,12.988497430736926,,,0.0,0.020980513049114115,17.853106098605895,0.04000001830932445,0.0459850261691693,0.010685617633735323,10.898451202093122,0.05218490060395346,0.009206270584225785,7.018869131231741,,,0.0,0.014513995782721875,12.500005721663893,0.6078125132326075,0.5151859512368231,0.1560369379928873,122.09907044312706,0.4124477377800977,0.0759146917184368,55.47422073142314,,,0.0,0.2232925194325982,189.94141038518987,0.031254807984446915,0.03279393846250219,0.007414099108892655,7.772163415613019,0.03542754911255383,0.006897249930998465,4.765005355638491,,,0.0,0.008733327173246153,9.767127495139665,0.22235924923516606,0.2250882168494686,0.05848868964034967,53.34590739332406,0.23089814519601776,0.0535584493065561,31.05580052886439,,,0.0,0.07019449552740574,69.48726538598942
42383347460000,WFMPB,0.0050569130216121,0.005653598923867215,0.008622598011606466,1.9165700351909856,0.02724013939965603,0.0055721850662542715,0.8580643910891651,,,0.0,0.008337847700982549,1.9165700351909856,2017-10-23 10:41:14.598222,379.0,0.007765986728496227,0.008682327345427935,0.013270017899367251,5.886617940200138,0.041947892861169976,0.008608399286851002,2.6427172502537086,,,0.0,0.012830612274701676,5.886617940200138,0.045633924195339376,0.04852245018598434,0.008766925495287152,16.44911061304869,0.06375724322264466,0.005975602279569317,2.008353161513307,,,0.0,0.011985979683405168,17.295257270033623,0.9098819272211296,0.8992485263032687,0.13993782621350387,304.84525041680814,0.5751730271232112,0.05713542637818742,18.117950354381147,,,0.0,0.13591943252416142,344.8452504168081,0.02712228588811746,0.028158050193765924,0.007224270706682022,9.545579015686648,0.03837412718567725,0.005327696037302456,1.2087850063488337,,,0.0,0.0082722442074509,10.279346351596518,0.2398302952873839,0.2463343733388575,0.03145548251894583,83.50735256187271,0.2677780421027304,0.027202353716939826,8.435008326236009,,,0.0,0.04051774258700217,90.8956819139185
42383347460000,WFMPC,0.008019828402977115,0.009438498409279926,0.010747898104578305,1.3072320296852695,0.026649435720387686,0.004173957190675235,0.7728336358912428,,,0.0,0.010465742776728456,1.3072320296852695,2017-10-23 10:41:14.613822,163.0,0.012097207521101421,0.014237146757686147,0.01621461765719735,3.943689651879063,0.04019944298534131,0.006317759034586548,2.331567693149796,,,0.0,0.015788710920098318,3.943689651879063,0.04663221853692167,0.05154256053005951,0.010256651742084118,7.138644633413242,0.06380055899022874,0.00581854510875246,1.8502162107166331,,,0.0,0.015186660528248222,7.601051621518232,0.8625137397852611,0.8381930655956504,0.17242574694407894,116.0897395849976,0.5821288923070852,0.05311773123816711,16.881737876905472,,,0.0,0.16913214121035422,140.58973958499755,0.02674551463836357,0.029625655050780863,0.006722358651628524,4.10315322453315,0.035974596201547325,0.0037656489674956,1.0432632898448724,,,0.0,0.00967766983242043,4.359518886053261,0.2260750702367096,0.2449887452231083,0.0389465793366424,33.9309412134005,0.2693043705565684,0.0277351848160646,7.809826746140484,,,0.0,0.05992653705380808,36.85023644858366
